,Brand,Color_type,Print_type,Prod_spec,Category
186,Canon,Color,N o n e,Wireless,Printer and Scanner
187,Samsung,Monochrome,N o n e,N o n e,Printer and Scanner
188,Canon,Color,N o n e,N o n e,Printer and Scanner
189,HP,Color,DeskJet,Wireless,Printer and Scanner
190,HP,Monochrome,Laser,N o n e,Printer and Scanner
191,Canon,Color,Laser,N o n e,Printer and Scanner
192,Samsung,Color,N o n e,N o n e,Printer and Scanner
193,Canon,Color,N o n e,N o n e,Printer and Scanner
194,HP,Color,DeskJet,Wireless,Printer and Scanner
195,HP,Color,N o n e,Wireless,Printer and Scanner
196,HP,Color,N o n e,N o n e,Printer and Scanner
197,Epson,Color,EcoTank,Wi-Fi,Printer and Scanner
198,Canon,Color,N o n e,Wireless,Printer and Scanner
199,HP,Color,LaserJet,N o n e,Printer and Scanner
200,Canon,Color,N o n e,N o n e,Printer and Scanner
201,Canon,Color,N o n e,N o n e,Printer and Scanner
202,HP,Monochrome,LaserJet,N o n e,Printer and Scanner
203,HP,Color,LaserJet,Wireless,Printer and Scanner
204,Epson,Color,InkTank,N o n e,Printer and Scanner
205,HP,Color,Laserjet,N o n e,Printer and Scanner
206,PRASH,Color Monochrome,N o n e,N o n e,Printer and Scanner
207,Canon,Color,N o n e,N o n e,Printer and Scanner
208,Samsung,Monochrome,N o n e,N o n e,Printer and Scanner
