,Brand,Model,Processor,RAM,OS,Disk,Dim,Category
337,Dell,Inspiron,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,256 GB SSD,33.78 cm (13.3 inch) Touchscreen ,Laptop
338,Dell,Vostro,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,Linux/Ubuntu,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
339,Asus,ROG,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) ,Laptop
340,Asus, Vivobook,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,256 GB SSD,39.62 cm (15.6 inch) ,Laptop
341,Asus,ZenBook,AMD Ryzen 5 Quad Core Processor (2nd Gen),8 GB DDR4 ,64 bit Windows 10,512 GB SSD,35.56 cm (14 inch) ,Laptop
342,Dell,G,Intel Core i5 Processor (4th Gen),4 GB DDR3 ,64 bit Windows 8.1,1 TB HDD,35.2 cm (13.86 inch) ,Laptop
343,Dell,G,Intel Core i7 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) ,Laptop
344,Dell,Inspiron,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,2 TB HDD,39.62 cm (15.6 inch) ,Laptop
345,Asus, ZenBook,AMD Ryzen 5 Quad Core Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
346,HP,Pavilion,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) ,Laptop
347,HP,Envy,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 ,64 bit Windows 10,512 GB SSD,33.78 cm (13.3 inch) Touchscreen ,Laptop
348,HP,Envy,Intel Core i7 Processor (10th Gen),16 GB DDR4 ,64 bit Windows 10,512 GB SSD,33.78 cm (13.3 inch) Touchscreen ,Laptop
349,Dell,XPS,Intel Core i5 Processor (7th Gen),8 GB DDR3 ,64 bit Windows 10,256 GB SSD,33.78 cm (13.3 inch) ,Laptop
350,Lenovo,Ideapad,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
351,Asus, Vivo,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
352,Apple,MacBook Air,Intel Core i5 Processor (5th Gen),8 GB ,Mac,128 GB SSD,33.78 cm (13.3 inch) ,Laptop
353,Dell,Inspiron,AMD Ryzen 3 Quad Core Processor,4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
354,Lenovo,Ideapad,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,D,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
355,HP,Pavilion,Intel Core i7 Processor (9th Gen),12 GB DDR4 ,64 bit Windows 10,1 TB HDD|512 GB SSD,39.62 cm (15.6 inch) ,Laptop
356,Lenovo,Ideapad,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
357,Dell,Inspiron,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,2 TB HDD,39.62 cm (15.6 inch) ,Laptop
358,HP,Pavilion,Intel Core i7 Processor (9th Gen),12 GB DDR4 ,64 bit Windows 10,1 TB HDD|512 GB SSD,39.62 cm (15.6 inch) ,Laptop
359,Lenovo,Ideapad,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
360,Dell,Inspiron,Intel Core i3 Processor (8th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
361,HP,Pavilion,Intel Core i7 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,512 GB SSD,35.56 cm (14 inch) ,Laptop
362,Acer,Aspire,Intel Core i5 Processor (7th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
363,Dell,Inspiron,Intel Core i7 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,2 TB HDD|128 GB SSD,39.62 cm (15.6 inch) ,Laptop
364,Asus,ZenBook,Intel Core i5 Processor (8th Gen),8 GB DDR3 ,64 bit Windows 10,512 GB SSD,33.78 cm (13.3 inch) ,Laptop
365,HP,Pavilion,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) ,Laptop
366,HP,Pavilion,Intel Core i3 Processor (7th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
367,Lenovo,Ideapad,Intel Pentium Quad Core Processor,4 GB DDR3 ,D,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
368,HP, ProBook,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,D,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
369,Lenovo,Ideapad,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,2 TB HDD,39.62 cm (15.6 inch) ,Laptop
370,Lenovo, Legion,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,500 GB HDD,35.56 cm (14 inch) ,Laptop
371,AGB,Orion,Intel Core i7 Processor (7th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|512 GB SSD,35.56 cm (14 inch) ,Laptop
372,Lenovo,Ideapad,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,35.56 cm (14 inch) ,Laptop
373,HP, Pavilion,Intel Core i5 Processor (7th Gen),4 GB DDR4 ,D,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
374,HP, Envy,Intel Core i5 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
375,HP, Notebook,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,35.56 cm (14 inch) ,Laptop
376,Lenovo,Ideapad,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
377,Dell,Inspiron,Intel Core i5 Processor (8th Gen),4 GB DDR4 ,64 bit Windows 10,2 TB HDD,39.62 cm (15.6 inch) ,Laptop
378,HP,Pavilion,Intel Core i3 Processor (8th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD|8 GB SSD,35.56 cm (14 inch) Touchscreen ,Laptop
379,Asus,ZenBook,Intel Core i7 Processor (10th Gen),16 GB DDR3 ,64 bit Windows 10,1 TB SSD,35.56 cm (14 inch) ,Laptop
380,HP,Pavilion,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
381,Asus,Vivo,Intel Core i3 Processor (7th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
382,HP, Pavilion,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,35.56 cm (14 inch) ,Laptop
383,HP, ProBook,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,D,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
384,Microsoft,SurfacePro,Intel Core i5 Processor (8th Gen),8 GB DDR3 ,64 bit Windows 10,128 GB SSD,31.24 cm (12.3 inch) Touchscreen ,Laptop
385,Asus, Vivo,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
386,Dell,XPS,Intel Core i5 Processor (8th Gen),8 GB DDR3 ,64 bit Windows 10,256 GB SSD,33.02 cm (13 inch) ,Laptop
387,Asus, TUF Gaming,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
388,Asus,Vivo,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
389,Lenovo,Ideapad,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,512 GB SSD,39.62 cm (15.6 inch) ,Laptop
390,Lenovo, ThinkPad X Series,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
391,HP, EliteBook,Intel Core i7 Processor (10th Gen),16 GB DDR4 ,64 bit Windows 10,512 GB SSD,39.62 cm (15.6 inch) Touchscreen ,Laptop
392,Dell, Latitude,Intel Core i3 Processor (8th Gen),8 GB DDR4 ,64 bit Linux/Ubuntu,1 TB HDD,35.56 cm (14 inch) ,Laptop
393,HP, Envy,Intel Core i7 Processor (8th Gen),16 GB DDR4 ,64 bit Windows 10,512 GB SSD,33.78 cm (13.3 inch) Touchscreen ,Laptop
394,Lenovo, Legion,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit D,1 TB HDD,35.56 cm (14 inch) ,Laptop
395,HP, Zbook,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,256 GB SSD,33.78 cm (13.3 inch) Touchscreen ,Laptop
396,Acer,Aspire,AMD APU Dual Core A4 Processor,4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
397,Dell,Vostro,Intel Core i3 Processor (8th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,35.56 cm (14 inch) ,Laptop
398,Acer,Aspire,AMD APU Dual Core A4 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
399,HP, Pavilion,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit D,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
400,HP,Pavilion,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|8 GB SSD,39.62 cm (15.6 inch) ,Laptop
401,Dell,Vostro,Intel Core i3 Processor (6th Gen),4 GB DDR3 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
402,HP, Notebook,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
403,Asus,Vivo,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit D,1 TB HDD,35.56 cm (14 inch) ,Laptop
404,Acer, Nitro,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
405,HP, Zbook,Intel Core i7 Processor (8th Gen),16 GB DDR4 ,64 bit Windows 10,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) ,Laptop
406,Dell,Vostro,Intel Core i5 Processor (8th Gen),4 GB DDR4 ,Linux/Ubuntu,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
407,Dell,Inspiron,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
408,Lenovo,Ideapad,Intel Core i3 Processor (8th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,35.56 cm (14 inch) ,Laptop
409,AGB,Orion,Intel Core i7 Processor (7th Gen),16 GB DDR4 ,64 bit Windows 10,1 TB HDD|1 TB SSD,35.56 cm (14 inch) ,Laptop
410,Lenovo, ThinkPad P Series,Intel Core i5 Processor (4th Gen),4 GB DDR3 ,D,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
411,Lenovo,Ideapad,Intel Core i5 Processor (6th Gen),4 GB DDR3 ,64 bit Windows 10,1 TB HDD,35.56 cm (14 inch) ,Laptop
412,Lenovo,Ideapad,Intel Core i7 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
413,Lenovo,Ideapad,AMD APU Quad Core A6 Processor,4 GB DDR3 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
414,Lenovo, Yoga,Intel Pentium Quad Core Processor (4th Gen),4 GB DDR3 ,D,500 GB HDD,39.62 cm (15.6 inch) ,Laptop
415,Lenovo,Ideapad,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,D,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
